season,month,hour,holiday,weekday,workingday,weather,temperature,humidity,windspeed,count
1,1,0,0,6,0,1,0.24,0.81,0.0,16
1,1,17,0,0,0,1,0.34,0.57,0.194,65
1,1,12,0,2,1,1,0.22,0.51,0.1642,78
1,1,6,0,4,1,2,0.14,0.63,0.1045,36
1,1,23,0,5,1,2,0.18,0.51,0.1642,15
1,1,15,0,0,0,1,0.22,0.35,0.3582,82
1,1,9,0,2,1,2,0.18,0.51,0.1642,130
1,1,3,0,4,1,1,0.14,0.5,0.3284,3
1,1,20,0,5,1,1,0.18,0.59,0.0,68
1,1,12,0,0,0,1,0.24,0.41,0.2836,104
1,1,16,0,2,1,2,0.22,0.87,0.194,61
1,1,9,0,4,1,2,0.24,0.52,0.2239,143
1,1,1,0,6,0,2,0.04,0.41,0.3881,12
1,1,19,0,0,0,1,0.12,0.3,0.2836,50
1,1,13,0,2,1,2,0.26,0.56,0.1343,93
1,1,6,0,5,1,2,0.18,0.8,0.1343,16
1,1,23,0,6,0,1,0.16,0.8,0.0896,33
1,1,16,0,1,1,2,0.16,0.56,0.194,86
1,2,9,0,3,1,2,0.24,0.93,0.0896,123
1,2,2,0,5,1,2,0.14,0.63,0.1045,1
1,2,19,0,6,0,2,0.28,0.93,0.4478,84
1,2,11,0,1,1,1,0.3,0.65,0.0896,47
1,2,3,0,3,1,1,0.06,0.45,0.1343,2
1,2,21,0,4,1,1,0.14,0.39,0.0,72
1,2,15,0,6,0,1,0.34,0.29,0.4179,174
1,2,8,0,1,1,1,0.38,0.4,0.4627,256
1,2,1,0,3,1,1,0.2,0.44,0.0896,9
1,2,18,0,4,1,2,0.54,0.42,0.2836,222
1,2,10,0,6,0,1,0.42,0.16,0.5821,106
1,2,3,1,1,0,2,0.34,0.42,0.2985,5
1,2,1,0,3,1,1,0.14,0.46,0.1642,4
1,2,19,0,4,1,3,0.34,0.93,0.2985,115
1,2,12,0,6,0,2,0.32,0.45,0.1642,160
1,2,7,0,1,1,2,0.36,0.93,0.1045,92
1,3,23,0,2,1,1,0.24,0.65,0.2239,25
1,3,15,0,4,1,1,0.24,0.23,0.0,68
1,3,7,0,6,0,2,0.3,1.0,0.2985,15
1,3,0,0,1,1,3,0.2,1.0,0.3284,4
1,3,17,0,2,1,1,0.36,0.27,0.2239,248
1,3,11,0,4,1,3,0.4,0.0,0.2537,11
1,3,4,0,6,0,1,0.24,0.65,0.2537,1
1,3,21,0,0,0,1,0.3,0.56,0.2537,58
1,3,15,0,2,1,2,0.38,0.43,0.2836,90
1,3,8,0,4,1,1,0.36,0.66,0.1343,299
1,3,1,0,6,0,2,0.58,0.46,0.3582,51
1,3,17,0,0,0,1,0.4,0.35,0.2836,226
2,3,10,0,2,1,2,0.44,0.54,0.2985,124
2,3,3,0,4,1,2,0.28,1.0,0.194,1
2,3,19,0,5,1,2,0.3,0.36,0.2836,135
2,3,12,0,0,0,2,0.26,0.44,0.2239,163
2,3,5,0,2,1,1,0.22,0.37,0.2537,8
2,3,21,0,3,1,2,0.24,0.93,0.2537,27
2,4,13,0,5,1,1,0.36,0.5,0.3582,110
2,4,5,0,0,0,1,0.28,0.65,0.2239,5
2,4,21,0,1,1,2,0.7,0.3,0.4478,95
2,4,13,0,3,1,1,0.46,0.38,0.4925,112
2,4,5,0,5,1,2,0.32,0.87,0.194,9
2,4,21,0,6,0,2,0.36,0.93,0.1343,75
2,4,14,0,1,1,2,0.72,0.54,0.3582,145
2,4,6,0,3,1,3,0.38,0.94,0.2239,34
2,4,22,0,4,1,1,0.48,0.55,0.1045,104
2,4,14,0,6,0,3,0.52,0.83,0.5821,63
2,4,6,0,1,1,1,0.4,0.82,0.0,54
2,4,22,0,2,1,1,0.48,0.77,0.0896,112
2,4,14,0,4,1,1,0.5,0.34,0.3881,228
2,4,6,0,6,0,2,0.34,1.0,0.1642,11
2,4,22,0,0,0,3,0.54,1.0,0.1642,45
2,4,14,0,2,1,1,0.72,0.58,0.3284,155
2,4,6,0,4,1,2,0.64,0.78,0.4627,86
2,4,22,0,5,1,1,0.42,0.58,0.1642,146
2,5,14,0,0,0,2,0.5,0.68,0.1045,238
2,5,6,0,2,1,2,0.52,0.94,0.1642,109
2,5,22,0,3,1,1,0.38,0.62,0.2239,89
2,5,14,0,5,1,1,0.6,0.4,0.4478,213
2,5,6,0,0,0,2,0.44,0.82,0.0,6
2,5,22,0,1,1,1,0.52,0.68,0.0896,116
2,5,14,0,3,1,1,0.62,0.53,0.0896,177
2,5,6,0,5,1,3,0.5,0.88,0.1343,82
2,5,22,0,6,0,3,0.54,0.94,0.1642,26
2,5,14,0,1,1,1,0.68,0.51,0.0,193
2,5,6,0,3,1,1,0.52,1.0,0.1343,101
2,5,22,0,4,1,3,0.5,0.82,0.2985,79
2,5,14,0,6,0,1,0.72,0.42,0.0,456
2,5,6,0,1,1,2,0.54,1.0,0.0,96
2,5,22,0,2,1,3,0.62,0.88,0.2239,141
2,5,14,0,4,1,1,0.82,0.52,0.2836,189
2,5,6,0,6,0,1,0.58,0.83,0.2537,19
2,5,22,0,0,0,1,0.66,0.89,0.1343,171
2,5,14,0,2,1,1,0.9,0.37,0.0,140
2,6,6,0,4,1,1,0.66,0.39,0.1343,113
2,6,22,0,5,1,1,0.62,0.35,0.0,171
2,6,14,0,0,0,1,0.7,0.58,0.1642,385
2,6,6,0,2,1,1,0.6,0.78,0.1343,126
2,6,22,0,3,1,1,0.76,0.75,0.1642,176
2,6,14,0,5,1,1,0.86,0.39,0.0,165
2,6,6,0,0,0,1,0.62,0.88,0.1045,14
2,6,22,0,1,1,1,0.62,0.46,0.2239,134
2,6,14,0,3,1,1,0.74,0.28,0.0,178
2,6,6,0,5,1,1,0.56,0.94,0.0,97
2,6,22,0,6,0,2,0.72,0.62,0.1343,161
2,6,14,0,1,1,1,0.66,0.61,0.1045,175
3,6,6,0,3,1,1,0.66,0.83,0.0,122
3,6,22,0,4,1,2,0.7,0.74,0.2239,162
3,6,14,0,6,0,1,0.74,0.45,0.2985,383
3,6,6,0,1,1,2,0.62,0.78,0.1642,94
3,6,22,0,2,1,1,0.7,0.7,0.2985,134
3,6,14,0,4,1,1,0.78,0.31,0.194,163
3,7,6,0,6,0,1,0.62,0.69,0.1045,32
3,7,22,0,0,0,2,0.66,0.78,0.1045,162
3,7,14,0,2,1,1,0.8,0.49,0.1642,178
3,7,6,0,4,1,2,0.64,0.89,0.1343,118
3,7,22,0,5,1,2,0.66,0.78,0.194,169
3,7,14,0,0,0,1,0.82,0.41,0.3284,349
3,7,6,0,2,1,1,0.74,0.58,0.2239,115
3,7,22,0,3,1,1,0.68,0.83,0.194,184
3,7,14,0,5,1,1,0.7,0.51,0.194,265
3,7,6,0,0,0,1,0.62,0.73,0.1642,21
3,7,22,0,1,1,1,0.76,0.66,0.2239,140
3,7,14,0,3,1,1,0.86,0.53,0.2239,127
3,7,6,0,5,1,1,0.76,0.75,0.0896,96
3,7,22,0,6,0,1,0.8,0.59,0.194,125
3,7,14,0,1,1,2,0.72,0.79,0.194,90
3,7,6,0,3,1,1,0.7,0.54,0.2239,123
3,7,22,0,4,1,1,0.76,0.7,0.2537,174
3,7,14,0,6,0,1,0.9,0.29,0.0,305
3,8,6,0,1,1,1,0.66,0.83,0.0896,100
3,8,22,0,2,1,2,0.78,0.59,0.1642,191
3,8,14,0,4,1,1,0.8,0.55,0.1642,167
3,8,6,0,6,0,1,0.64,0.89,0.1045,27
3,8,22,0,0,0,1,0.7,0.89,0.194,103
3,8,14,0,2,1,1,0.86,0.44,0.2836,148
3,8,6,0,4,1,1,0.62,0.65,0.1642,106
3,8,22,0,5,1,1,0.68,0.51,0.0,231
3,8,14,0,0,0,1,0.74,0.7,0.194,370
3,8,6,0,2,1,1,0.62,0.73,0.3284,119
3,8,22,0,3,1,1,0.7,0.65,0.194,171
3,8,14,0,5,1,1,0.78,0.55,0.194,220
3,8,6,0,0,0,1,0.66,0.89,0.2836,14
3,8,22,0,1,1,1,0.64,0.38,0.2985,153
3,8,14,0,3,1,1,0.76,0.48,0.4179,204
3,8,6,0,5,1,1,0.62,0.88,0.0,105
3,8,11,0,0,0,1,0.7,0.58,0.3881,237
3,8,3,0,2,1,1,0.54,0.73,0.194,4
3,8,19,0,3,1,1,0.84,0.47,0.2537,446
3,9,11,0,5,1,2,0.66,0.74,0.1045,192
3,9,3,0,0,0,1,0.64,0.89,0.194,43
3,9,19,1,1,0,3,0.66,0.94,0.1045,175
3,9,12,0,3,1,3,0.56,0.94,0.0,22
3,9,5,0,5,1,2,0.62,0.94,0.1343,14
3,9,21,0,6,0,1,0.64,0.78,0.0896,230
3,9,14,0,1,1,1,0.74,0.51,0.1642,189
3,9,6,0,3,1,1,0.58,0.88,0.1045,145
3,9,22,0,4,1,1,0.44,0.67,0.2836,115
